Fold,Model,Chain,label,RMSE
3,CLUS (200),,group_fairness,0.074336847
3,CLUS (200),,all,0.12938918692737206
4,CLUS (200),,disparate_parity,0.13587561227450207
4,CLUS (200),,equal_opportunity,0.1688404312491272
4,CLUS (200),,group_fairness,0.078255073
4,CLUS (200),,all,0.12765703892885372
5,CLUS (200),,disparate_parity,0.13758472190032098
5,CLUS (200),,equal_opportunity,0.16519262513740604
5,CLUS (200),,group_fairness,0.073803836
5,CLUS (200),,all,0.12552706094423813
6,CLUS (200),,disparate_parity,0.14199589078585798
6,CLUS (200),,equal_opportunity,0.16999863996105863
6,CLUS (200),,group_fairness,0.070376876
6,CLUS (200),,all,0.1274571354406965
7,CLUS (200),,disparate_parity,0.1364797684410596
7,CLUS (200),,equal_opportunity,0.16826248292753598
7,CLUS (200),,group_fairness,0.070832982
7,CLUS (200),,all,0.12519174456875706
8,CLUS (200),,disparate_parity,0.13640203807698298
8,CLUS (200),,equal_opportunity,0.16300282962928167
8,CLUS (200),,group_fairness,0.073037687
8,CLUS (200),,all,0.12414751826868964
9,CLUS (200),,disparate_parity,0.14152235681955144
9,CLUS (200),,equal_opportunity,0.16627568221993655
9,CLUS (200),,group_fairness,0.073893191
9,CLUS (200),,all,0.12723040992756152
