Fold,Model,Chain,Target,RMSE
8,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",disparate_parity,0.12670152088851755
8,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",equal_opportunity,0.15580614400482765
8,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",group_fairness,0.07603193334941143
8,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",disparate_parity,0.13173386762855843
8,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.15197918652094974
8,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",group_fairness,0.07603193334941143
8,Ensemble,,disparate_parity,0.12714271989541748
8,Ensemble,,equal_opportunity,0.15235754820980849
8,Ensemble,,group_fairness,0.07798973864955873
9,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",disparate_parity,0.1296751431284848
9,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",equal_opportunity,0.15997367668321857
9,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",group_fairness,0.07725776460278233
9,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",disparate_parity,0.1296751431284848
9,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",equal_opportunity,0.1590337830931681
9,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",group_fairness,0.07807779022012722
9,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",disparate_parity,0.13430236735614243
9,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",equal_opportunity,0.15857329235022713
9,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",group_fairness,0.07663829588265177
9,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",disparate_parity,0.13427712305101863
9,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",equal_opportunity,0.15857329235022713
9,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",group_fairness,0.07650484886509715
9,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",disparate_parity,0.12957139048062274
9,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",equal_opportunity,0.15906327481137514
9,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",group_fairness,0.07487067586296203
9,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",disparate_parity,0.13469024323216156
9,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.15864906030737308
9,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",group_fairness,0.07487067586296203
9,Ensemble,,disparate_parity,0.13055874695528616
9,Ensemble,,equal_opportunity,0.15790526067487354
9,Ensemble,,group_fairness,0.07517671835848028
