,Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
266,XGBoost,6.0,equal_opportunity,0.1084339006686482,0.0262233256245692,0.1619361776273889,1540084356613.7688,0.7315513328974484,0.0149965031977719
267,XGBoost,7.0,equal_opportunity,0.1078576168241685,0.0251989110792529,0.1587416488488542,1582256137176.8506,0.725467288677109,0.0144844781422318
268,XGBoost,8.0,equal_opportunity,0.1036866669780422,0.0231937950763027,0.1522950920952568,1948338278631.1208,0.7309751136128221,0.013730778873599
269,XGBoost,9.0,equal_opportunity,0.1058850689964304,0.024854512345173,0.1576531393444895,1601726113121.9875,0.7326505777712159,0.0143416533932662
270,XGBoost,0.0,disparate_parity,0.0982527566089547,0.0179730911347863,0.134063757722907,1707683896744.5076,0.715187702548891,0.0112344233677206
271,XGBoost,1.0,disparate_parity,0.0974878417636249,0.0172923050876467,0.1315002094585661,1369901038341.6377,0.7083134621783553,0.0107384196290674
272,XGBoost,2.0,disparate_parity,0.093346702222324,0.015985303666145,0.126433000700549,497184776652.6924,0.6942469324250616,0.0101327415836377
273,XGBoost,3.0,disparate_parity,0.0973733433288306,0.0175820906944376,0.1325974761993518,2026175115300.0547,0.6982467816782373,0.0109138013847306
274,XGBoost,4.0,disparate_parity,0.0933872603127423,0.0156379843890003,0.1250519267704433,1714988611800.3154,0.6847775985060155,0.009934817123827
275,XGBoost,5.0,disparate_parity,0.0925972939904736,0.0158452077387818,0.1258777491806309,912151145350.9991,0.6844507026573141,0.0098598191850447
276,XGBoost,6.0,disparate_parity,0.0974897480173219,0.0177796555031389,0.1333403746175139,1470739358156.8345,0.70378247135475,0.0107425512477493
277,XGBoost,7.0,disparate_parity,0.0939716356945955,0.0163383452796711,0.1278215368381679,1400464969042.363,0.6822487693878224,0.0101095505486268
278,XGBoost,8.0,disparate_parity,0.0931609807621393,0.0162880156134801,0.127624510237964,1797686244149.24,0.6833105258336672,0.0101743021008035
279,XGBoost,9.0,disparate_parity,0.0937868480694906,0.0167389806308024,0.1293792125142306,1336342231386.0518,0.6935026602811163,0.0104683788502104
280,XGBoost,0.0,individual_fairness,0.000567198711546,8.46879291497794e-07,0.0009202604476439,0.0036488461297504,0.0036333687120535,3.908767403259977e-07
281,XGBoost,1.0,individual_fairness,0.0005156918536977,7.062335733292089e-07,0.000840377042362,0.0032731640805754,0.0032676666344949,3.956003137856531e-07
282,XGBoost,2.0,individual_fairness,0.000539675950576,6.445198444936092e-07,0.0008028199327953,0.0031838168752709,0.0031718367428104,3.326270619179888e-07
283,XGBoost,3.0,individual_fairness,0.0008131448318019,4.1572389855373e-05,0.006447665457774,0.0044834181571048,0.0043097488345776,2.159968385405205e-05
284,XGBoost,4.0,individual_fairness,0.0005437950049877,7.4257842104812e-07,0.0008617299002866,0.0035468415203139,0.0035300025622749,4.0431508246252913e-07
285,XGBoost,5.0,individual_fairness,0.0004171021048887,4.461746399109522e-07,0.0006679630528037,0.0027905806887659,0.002791326135973,2.4960666332030015e-07
286,XGBoost,6.0,individual_fairness,0.0052194996052773,5.980527417465792e-05,0.0077333869794972,0.0324354527552775,0.033315265638727,3.017642745216013e-05
