,Chain_Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
184,EnsembleTree(5),3,equal_opportunity,0.1168292131675994,0.0297251789299048,0.1724099154048422,4449717661477.03,0.7691083513769599,0.0173492561806427
185,EnsembleTree(5),3,group_fairness,0.0636761574888847,0.0088187952540989,0.0939084408032576,0.4575593260670103,0.2559385270032669,0.0029862530035838
186,AverageEnsemble(6),3,disparate_parity,0.0956827084091453,0.0177510981556947,0.1332332471858837,1590486436601.7437,0.6797990788670446,0.0109610400890115
187,AverageEnsemble(6),3,equal_opportunity,0.1066556852542191,0.0255939064379007,0.1599809564851414,3279905546039.1616,0.7192162997594437,0.0149214101646985
188,AverageEnsemble(6),3,group_fairness,0.0538902710183666,0.007930089847385,0.0890510519162187,0.1811972931602294,0.1492496871025935,0.0023338493021728
189,EnsembleTree(6),3,disparate_parity,0.1046784999491862,0.0198584804559705,0.1409201208343597,1939652971094.9773,0.7356498579802017,0.0124335683579016
190,EnsembleTree(6),3,equal_opportunity,0.1170397526808962,0.0298059040488361,0.1726438647877072,4604530136453.762,0.7712402322329112,0.0174256779192048
191,EnsembleTree(6),3,group_fairness,0.0638350251301655,0.0088333499742522,0.0939859030613222,0.4642735951265654,0.2572023309833974,0.0029998135124976
192,LightGBM(DEG),4,disparate_parity,0.0918655979958472,0.0156318211629205,0.1250272816745233,1492618856739.5764,0.6737521317621656,0.0099320078923075
193,LightGBM(DEG),4,equal_opportunity,0.1115773224986978,0.0268778156610092,0.1639445505682004,3307572906837.563,0.7452295751285942,0.0154332177368014
194,LightGBM(DEG),4,group_fairness,0.0715696477762839,0.0128504232720067,0.113359707444959,0.2398996366218155,0.1979206399076124,0.0039582613363062
195,LightGBM(DGE),4,disparate_parity,0.0918655981405865,0.0156318211963247,0.1250272818081109,1492618850734.9048,0.6737521319581733,0.0099320079079532
196,LightGBM(DGE),4,equal_opportunity,0.1110528809055676,0.0266033877509574,0.1631054497892618,3232103039244.592,0.7429458118997252,0.0152704461840439
197,LightGBM(DGE),4,group_fairness,0.0716474666563384,0.0128560985782991,0.1133847369723949,0.2406308698157156,0.1984507323150576,0.0039889596871389
198,LightGBM(EDG),4,disparate_parity,0.0918263256212546,0.0157109306724451,0.1253432514036759,1474770072407.1804,0.6714994889815092,0.0099535829856858
199,LightGBM(EDG),4,equal_opportunity,0.1104140940078508,0.0266193388693158,0.1631543406389048,3035667140780.3403,0.7355466122609574,0.0153402584022874
